Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days),Grant Pricing
MAINTENANCE/REPAIR TOOLS AND SHOP EQUIPMENT,MAINTENANCE/REPAIR TOOLS AND SHOP EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,211977.69,63593.31,-70.00%,3,9454.20507
CAMOUFLAGE & DECEPTION EQUIPMENT,CAMOUFLAGE AND DECEPTION EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,211977.69,63593.31,-70.00%,3,9454.20507
TRAILERS,TRAILERS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,423955.38,127186.61,-70.00%,3,18908.40982
GENERATORS,GENERATORS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,423955.38,127186.61,-70.00%,3,18908.40982
PERSONAL GEAR AND EQUIPMENT,PERSONAL GEAR AND EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,635933.07,190779.92,-70.00%,3,28362.61489
"INSTRUMENTS, GAUGES AND LAB EQUIPMENT","INSTRUMENTS, GAUGES AND LAB EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,211977.69,63593.31,-70.00%,3,9454.20507
FURNITURE,FURNITURE,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,211977.69,63593.31,-70.00%,3,9454.20507
OFFICE EQUIPMENT AND SUPPLIES,ADP/OFFICE EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,105988.84,31796.65,-70.00%,3,4727.1022
ADP/OFFICE EQUIPMENT AND SUPPLIES,ADP/OFFICE EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,211977.69,63593.31,-70.00%,3,9454.20507
"MEDICAL, DENTAL EQUIPMENT AND SUPPLIES","MEDICAL, DENTAL EQUIPMENT AND SUPPLIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,211977.69,63593.31,-70.00%,3,9454.20507
"TEXTILES, TENTS, ETC.","TEXTILES, TENTS, ETC",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Jamaica,Service Authorized to Supply EDA,1/4/2010,0,0,0,0,0,211977.69,63593.31,-70.00%,3,9454.20507
AIRCRAFT COMPONENTS AND ACCESORRIES,"AIRCRAFT PARTS, COMPONENTS AND ACCESSORIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,393220.87,78644.17,-80.00%,33,16279.34389
"PERSONAL CLOTHING, GEAR, AND EQUIPMENT","PERSONAL CLOTHING, GEAR AND EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33,6837.32455
SEARCH AND RESCUE EQUIPMENT,SEARCH AND RESCUE EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,393220.87,78644.17,-80.00%,33,16279.34389
"COMM, DETECTION & COHERENT RADIATION EQUIPMENT","COMM, DETECTION & COHERENT RADIATION EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,196610.44,39322.09,-80.00%,33,8139.67228
ADP/OFFICE EQUIPMENT AND SUPPLIES,ADP/OFFICE EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,98305.22,19661.04,-80.00%,33,4069.83598
"TEXTILES, TENTS, ETC","TEXTILES, TENTS, ETC",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,393220.87,78644.17,-80.00%,33,16279.34389
"PERSONAL CLOTHING, GEAR, AND EQUIPMENT","PERSONAL CLOTHING, GEAR AND EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,196610.44,39322.09,-80.00%,33,8139.67228
TRAINING AIDS,TRAINING AIDS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,242871.72,48574.34,-80.00%,33,10054.88908
"TEXTILES, TENTS, ETC","TEXTILES, TENTS, ETC",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,242871.72,48574.34,-80.00%,33,10054.88908
"PERSONAL CLOTHING, GEAR, AND EQUIPMENT","PERSONAL CLOTHING, GEAR AND EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,485743.43,97148.69,-80.00%,33,20109.77813
"MEDICAL, DENTAL EQUIPMENT AND SUPPLIES","MEDICAL, DENTAL EQUIPMENT AND SUPPLIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,485743.43,97148.69,-80.00%,33,20109.77813
ADP/OFFICE EQUIPMENT AND SUPPLIES,ADP/OFFICE EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,121435.86,24287.17,-80.00%,33,5027.44454
"COMM, DETECTION & COHERENT RADIATION EQUIPMENT","COMM, DETECTION & COHERENT RADIATION EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,485743.43,97148.69,-80.00%,33,20109.77813
AIRCRAFT COMPONENTS AND ACCESORRIES,"AIRCRAFT PARTS, COMPONENTS AND ACCESSORIES",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33,6837.32455
"AIRCRAFT LAUNCHING, LANDING & GROUND HNDLG EQUIP",AIRCRAFT LAUNCHING/LANDING/GROUND HANDLING EQUIP,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33,6837.32455
"SHIPS, SMALL CRAFT","SHIPS, SMALL CRAFT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33,6837.32455
SHIP AND MARINE EQUIPMENT,SHIP AND MARINE EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,330305.53,66061.11,-80.00%,33,13674.64907
PASSENGER VEHICLES,PASSENGER VEHICLES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33,6837.32455
SEARCH AND RESCUE EQUIPMENT,SEARCH AND RESCUE EQUIPMENT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,330305.53,66061.11,-80.00%,33,13674.64907
"COMM, DETECTION & COHERENT RADIATION EQUIPMENT","COMM, DETECTION & COHERENT RADIATION EQUIPMENT",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33,6837.32455
TRAINING AIDS,TRAINING AIDS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33,6837.32455
ADP/OFFICE EQUIPMENT AND SUPPLIES,ADP/OFFICE EQUIPMENT AND SUPPLIES,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,82576.38,16515.28,-80.00%,33,3418.66226
"TEXTILES, TENTS, ETC","TEXTILES, TENTS, ETC",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,165152.77,33030.55,-80.00%,33,6837.32455
"AIRCRAFT LAUNCHING, LANDING & GROUND HNDLG EQUIP",AIRCRAFT LAUNCHING/LANDING/GROUND HANDLING EQUIP,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Uruguay,Service Authorized to Supply EDA,2/3/2010,0,0,0,0,0,393220.87,78644.17,-80.00%,33,16279.34389
SEMITRAILER LOW BED: 25 TON 4 WHEEL W/E,SEMITRAILER LOW BED: 25 TON 4 WHEEL W/E,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Accepted/LOA Implemented,3/1/2010,1,1,0,0,0,7729,1545.8,-80.00%,59,319.9806
"TRUCK, TRACTOR: MET 8X6 75000 GVW W/W C/S","TRUCK, TRACTOR: MET 8X6 75000 GVW W/W C/S",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Accepted/LOA Implemented,3/1/2010,1,1,0,0,0,74288,14857.6,-80.00%,59,3075.5232
